work_id,title,artist,route,url,source,format,notes
REC-026,Music of Changes,John Cage,presto-alt,https://www.prestomusic.com/classical/products/8019700--cage-music-of-changes,Presto Music,download (FLAC $9.25 / MP3 $7.00),"Tudor's historic 1956 WDR recording; tracklist verified on Presto page. Also Herbert Henck on Wergo CD WER60099-50: https://www.prestomusic.com/classical/products/7977036--cage-music-of-changes ($18.50, order-on-demand). Catalogued New World issue itself not stocked."
REC-028,Klavierstuck XI,Karlheinz Stockhausen,presto-alt,https://www.prestomusic.com/classical/products/8461693--stockhausen-klavierstucke-piano-pieces-i-xi,Presto Music,2 CDs; download FLAC/MP3,"Sabine Liebner (piano), Wergo WER73412; also David Tudor historic first recordings, hat[now]ART HATNOWART172 (products/8496274)"
REC-030,Coglugtobusisletmesi,Clarence Barlow,presto-alt,https://www.prestomusic.com/classical/products/7976913--barlow-compositions-for-piano-and-player-piano,Presto Music,SACD (hybrid multi-channel),"Cogluotobusisletmesi confirmed on tracklist — version for four pianos (Kruse/Kobler/Roelcke + Barlow player piano, cond. James Avery); not the 1975 WERGO recording. In stock (1 left). hat HATNOWART126 Musica Derivata checked: does NOT contain the work."
REC-031,The Expanding Universe,Laurie Spiegel,direct,https://unseenworlds.com/products/laurie-spiegel-the-expanding-universe,Unseen Worlds,Digital / 3LP / 2CD,"Label's own store: digital $12 with 3LP and 2CD format options (2018 expanded edition, 19 tracks); also on artist Bandcamp lauriespiegel.bandcamp.com/album/the-expanding-universe with PDF booklet"
REC-032,Rhythms,Joel Chadabe,secondhand,https://www.discogs.com/Joel-Chadabe-Rhythms-For-Computer-And-Percussion/release/396554,Discogs,LP,"Lovely Music lists LP 1301 as out of print / no longer available (lovely.com/titles/lp1301.html); not on lovelymusic.bandcamp.com; the 2024 memorial album Emergence (joelchadabe.bandcamp.com) includes only a 2:56 Rhythms excerpt, not the 40-min 1981 album"
REC-034,Lexikon-Sonate,Karlheinz Essl,direct,https://www.essl.at/works/Lexikon-Sonate.html,essl.at,software download,Lexikon-Sonate software is free (CC BY-NC-ND) direct from Essl's site — macOS v6.0 and Windows v5.0. CD recordings exist (Rudiments 1995; Road to Chaos 1996 Soundprint) but are out of print — secondhand via Discogs only.
REC-037,Schall,Horacio Vaggione,direct,https://recollectiongrm.bandcamp.com/album/schall-rechant,Recollection GRM Bandcamp,digital,"Official label Bandcamp: 'Schall / Rechant' (rel. Jan 2024) pairs Schall with Rechant, 24 Variations, Gymel; Recollection GRM = Shelter Press + INA GRM"
REC-039,Audible Ecosystemics n.2,Agostino Di Scipio,presto-alt,https://www.prestomusic.com/classical/products/8078992--agostino-di-scipio-horbare-okosysteme,Presto Music,CD,"CD includes Hörbare Ökosysteme N.2a Studie über Rückkopplungen (Audible Ecosystemics n.2 Feedback Study, rec. 2003) and N.2b with vocal resonances (rec. 2004) — composer's own later realizations, not the 1997 self-release. Performers incl. Natalia Pschenitschnikova, Ensemble Mosaik, Quartetto Prometeo. Tracklist verified on product page."
REC-040,Confield,Autechre,presto-exact,https://www.prestomusic.com/jazz/products/9460183--confield,Presto Music,2 Vinyl Records,"Warp WARPLP128R, 2023 vinyl reissue of the 2001 album; verified product page"
REC-041,SuperCollider stochastic-pattern performances,Alberto de Campo,none,,,,"No canonical release exists. PowerBooks_UnPlugged live performance (TUBE Munich 2007, incl. de Campo) appears as track 15 on TOPLAP CD 1 'A prehistory of live coding' (2007), but toplap.org and composerprogrammer.com list no purchase or download route; no buyable de Campo/pb_up Bandcamp release found. Performances survive as documentation only."
REC-043,Platform,Holly Herndon,direct,https://shopusa.4ad.com/products/cad3503-platform,4AD store (US),2xLP,4AD USA store has 2xLP $25.48 in stock. Bandcamp (hollyherndon.bandcamp.com/album/platform) physical all sold out and no standalone digital; RVNG store sold out. Lossless digital alternatives verified: Qobuz and Bleep (release 60276).
REC-044,EARS,Kaitlyn Aurelia Smith,direct,https://kaitlynaureliasmith.bandcamp.com/album/ears,Bandcamp (Western Vinyl),digital + vinyl,"Official artist Bandcamp: digital $10+, limited black vinyl LP $20 (only 4 remaining at check, ships within 50 days)."
REC-045,Canti di Prigionia,Luigi Dallapiccola,presto-alt,https://www.prestomusic.com/classical/products/8438325--dallapiccola-il-prigioniero-canti-di-prigionia,Presto Music,"Presto CD, download (FLAC/MP3)",Salonen / Swedish Radio SO & Choir; tracklist verified (Canti di Prigionia 23:20). No Naxos recording on Presto. Also on Presto: Erato download 9029531677 (products/8723687) and American SO download ASO188 (products/8067990).
REC-046,Three Compositions for Piano,Milton Babbitt,presto-alt,https://www.prestomusic.com/classical/products/8056543--milton-babbitt-piano-works,Presto Music,download (FLAC $12.25 / MP3 $10.25),Tracklist verified on Presto page: opens with Three Compositions (7:44); recorded 1985 in the composer's presence. Catalogued New World recording not stocked.
REC-050,Kreuzspiel,Karlheinz Stockhausen,presto-alt,https://www.prestomusic.com/classical/products/8027861--wolfgang-rihm-kontinent,Presto Music,CD; download FLAC/MP3,"Klangforum Wien / Emilio Pomàrico, live Kreuzspiel (11:00), Col Legno COL20297; only recording of the work on Presto"
