holder,buy_url,route,work_id,title,artist,year,system,phase,flag,master_source_TO_FILL,master_format_TO_FILL
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-026,Music of Changes,John Cage,1951,SYS-001,early,clean,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-046,Three Compositions for Piano,Milton Babbitt,1947,SYS-002,early,clean,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-061,Philomel,Milton Babbitt,1964,SYS-002,peak,clean,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-082,For 1 2 or 3 People (Tudor realization),Christian Wolff,1964,SYS-004,early,uncertain-details,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-083,For 1 2 or 3 People (Nelly Boyd realization),Christian Wolff,1964,SYS-004,revival,uncertain-details,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-133,Points,Ruth Anderson,1973,SYS-006,peak,clean,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-163,I of IV,Pauline Oliveros,1966,SYS-008,early,clean,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-201,Speech Songs,Charles Dodge,1972,SYS-010,peak,clean,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-203,Six Fantasies on a Poem by Thomas Campion,Paul Lansky,1979,SYS-010,peak,clean,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-237,Schlingen-Blangen,Charlemagne Palestine,1988,SYS-012,peak,clean,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-241,String Quartet No. 4 Amazing Grace,Ben Johnston / Kepler Quartet,2006,SYS-012,diffusion,clean,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-314,Rainforest II,David Tudor,1968,SYS-020,early,uncertain-details,,
New World Records,https://www.newworldrecords.org,Own store — FLAC / WAV hi-res,REC-325,Spectral Malsconcities,Sarah Hennies,2020,SYS-020,revival,clean,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-067,Music from the Morning of the World: Ketjak,Balinese performers rec. David Lewiston,1969,SYS-003,early,PD-work,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-104,HPSCHD,Lejaren Hiller & John Cage,1969,SYS-005,early,clean,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-106,Earth's Magnetic Field,Charles Dodge,1970,SYS-005,peak,clean,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-161,It's Gonna Rain,Steve Reich,1965,SYS-008,early,clean,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-162,Come Out,Steve Reich,1966,SYS-008,early,clean,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-207,Different Trains,Steve Reich,1988,SYS-010,peak,clean,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-210,WTC 9/11,Steve Reich,2010,SYS-010,revival,clean,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-212,8980 Book of Travelers,Gabriel Kahane,2018,SYS-010,revival,clean,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-256,Java Court Gamelan,Pura Paku Alaman dir. Wasitodipuro,1971,SYS-013,early,PD-work,,
Nonesuch,https://store.nonesuch.com,MP3 only from the label — source CDs second-hand instead,REC-265,Bali Gamelan Semar Pegulingan,Semar Pegulingan Club of Teges Kanyinan,1988,SYS-013,peak,PD-work,,
