work_id,status,url,album,formats,notes
REC-026,alt,https://www.prestomusic.com/classical/products/8019700--cage-music-of-changes,Cage: Music of Changes — David Tudor (hat[now]ART hatn173),download (FLAC $9.25 / MP3 $7.00),"Tudor's historic 1956 WDR recording; tracklist verified on Presto page. Also Herbert Henck on Wergo CD WER60099-50: https://www.prestomusic.com/classical/products/7977036--cage-music-of-changes ($18.50, order-on-demand). Catalogued New World issue itself not stocked."
REC-046,alt,https://www.prestomusic.com/classical/products/8056543--milton-babbitt-piano-works,Milton Babbitt: Piano Works — Robert Taub (Harmonia Mundi HMC905160),download (FLAC $12.25 / MP3 $10.25),Tracklist verified on Presto page: opens with Three Compositions (7:44); recorded 1985 in the composer's presence. Catalogued New World recording not stocked.
REC-061,exact,https://www.prestomusic.com/classical/products/8043238--milton-babbitt-philomel,Milton Babbitt: Philomel — Bethany Beardslee (New World NW80466),CD; download (FLAC/MP3),"Tracklist verified on Presto: Philomel (18:53), Bethany Beardslee — the classic recording; also Phonemena, Post-Partitions, Reflections. CD on Independence Day offer (~30% off) until 2 Sep 2026; 2 in stock."
REC-082,alt,https://www.prestomusic.com/classical/products/7928596--christian-wolff-bread-and-roses,Christian Wolff - Bread and Roses (Wergo WER66582),"CD, download (FLAC/MP3)","Work confirmed on Presto works page (works/83719): performed by Malcolm Goldstein (violin/voice) & Matthias Kaul. Works page lists 8 recordings incl. The Art of David Tudor Vol. 1 (New World NW80737-1, download) and edition rz Kompositionen 1950-1972 (2 CDs RZ1023/24) — closest to the New World label hint."
REC-083,alt,https://www.prestomusic.com/classical/products/7928596--christian-wolff-bread-and-roses,Christian Wolff - Bread and Roses (Wergo WER66582),"CD, download",Alt recording: Malcolm Goldstein (violin/voice) & Matthias Kaul (percussion/voice/hurdy-gurdy). Original New World album not on Presto; works page lists 8 recordings of For 1 2 or 3 People incl. edition rz Kompositionen 1950-1972 2CD (RZ1023/24)
REC-133,exact,https://www.prestomusic.com/classical/products/7993738--new-music-for-electronic-and-recorded-media,New Music For Electronic And Recorded Media — Women In Electronic Music 1977 (New World NW80653),"CD, download (FLAC/ALAC/WAV/MP3)","Tracklist verified: Anderson, R: Points (5:32), Ruth Anderson. New World reissue of the CRI/1750 Arch anthology named in the reference. CD $18.25, download from $8.75."
REC-163,exact,https://www.prestomusic.com/classical/products/8456133--new-sounds-in-electronic-music,"New Sounds In Electronic Music — Oliveros / Reich / Maxfield (Columbia, orig. 1967 Odyssey LP)","download only (Hi-Res+ 192kHz, Hi-Res 96kHz, FLAC, MP3)","Tracklist verified: Pauline Oliveros — I of IV (20:31), alongside Reich Come Out and Maxfield Night Music. Digital reissue of the original 1967 Odyssey album; also streamable on Presto."
REC-201,exact,https://www.prestomusic.com/classical/products/8367710--charles-dodge-synthesized-voices,"Charles Dodge: Synthesized Voices (New World NWCRL348, CRI series)",download (FLAC/MP3),"Complete Speech Songs (4 songs, 7:11), composer's original recording; also In Celebration and The Story of Our Lives"
REC-203,exact,https://www.prestomusic.com/classical/products/8069647--paul-lansky-fantasies-and-tableaux,Paul Lansky: Fantasies and Tableaux,Download (FLAC/MP3),New World NWCR683 (CRI series); Six Fantasies on a Poem by Thomas Campion (Hannah MacKay voice) confirmed in verified tracklist; original recording
REC-237,exact,https://www.prestomusic.com/classical/products/7993703--palestine-schlingen-blangen,Palestine: Schlingen-Blängen (New World NW80578),CD,"Charlemagne Palestine, organ; $16.75. The New World/CRI release referenced."
