work_id,status,url,album,formats,notes
REC-043,no,,,,"No Presto listing for Platform; site search 'platform herndon' returns only books (Audio Culture). 4AD/RVNG title not stocked."
REC-068,exact,https://www.prestomusic.com/classical/products/8078117--gavin-bryars-jesus-blood-never-failed-me-yet,"Gavin Bryars: Jesus' Blood Never Failed Me Yet (GB Records BCGBCD22)","CD, download (FLAC/MP3)","Remastered reissue of the original 1975 Obscure recording produced by Brian Eno; coupled with The Sinking of the Titanic. The 1993 Point/Decca extended version with Tom Waits is also on Presto as a download: https://www.prestomusic.com/classical/products/8019710--bryars-jesus-blood-never-failed-me-yet"
REC-101,no,,,,"No Presto results for Max Mathews / Bell Labs material; Music from Mathematics and Voice of the Computer compilations not stocked."
REC-130,alt,https://www.prestomusic.com/classical/products/8615887--francois-bayle-50-ans-dacousmatique,"Francois Bayle - 50 Ans D'Acousmatique (inaGRM INAG6033-47)","15 CDs","Tracklist verified to include L'experience acoustique; composer's own INA-GRM edition but available only within the 15-CD complete box, no standalone album on Presto."
REC-152,no,,,,"Five Electrical Walks (Important Records) not stocked; Presto search shows only Kubisch 'dreaming of a major third' (CD) and Darmstadt Aural Documents Box 4."
REC-179,exact,https://www.prestomusic.com/classical/products/7977034--schwitters-ursonate-for-two-voices-musical-environment,"Schwitters: Ursonate (Wergo WER63042)",CD,"Per Ernst Schwitters this is Kurt Schwitters' own historic performance (claim disputed); out of stock at UK distributor but orderable. Alt modern recording by the Sprechbohrer trio on Wergo WER63162, CD or download: https://www.prestomusic.com/classical/products/8049838--schwitters-ursonate-for-two-voices-musical-environment"
REC-207,exact,https://www.prestomusic.com/classical/products/7954465--reich-different-trains-electric-counterpoint,"Reich: Different Trains & Electric Counterpoint (Nonesuch 7559791762)","CD, download (FLAC/MP3)","Original 1988 Kronos Quartet recording (Grammy 1989, with Pat Metheny in Electric Counterpoint). Alt recording on Signum SIGCD064, CD or download: https://www.prestomusic.com/classical/products/7939272--reich-different-trains"
REC-233,alt,https://www.prestomusic.com/classical/products/8615888--eliane-radigue-oeuvres-electroniques,"Eliane Radigue - Oeuvres Electroniques (inaGRM INA6060-74)","14 CDs","Tracklist verified to include Adnos I-III; INA-GRM electronic-works box rather than the Important Records 3-CD edition. Out of stock at UK distributor but orderable."
REC-265,no,,,,"Presto site search 'semar pegulingan' returns 0 results; Nonesuch Explorer title (79720) not stocked."
REC-298,no,,,,"No Kalan or Traditional Crossroads reissues of Cemil Bey's 1910-14 taksim recordings on Presto; hits are modern performances of his compositions (Routes du cafe, Kronos Floodplain, The Turkish Oud, Istanbul: Between Orient and Occident)."
REC-322,no,,,,"No Ryoji Ikeda albums stocked; Touch catalogue absent. Site search shows a single untitled jazz hit that could not be identified as +/-."
